X,Y,FID,OBJECTID,ID,INV_MOVIMI,F35DOV_TIP,TIPO,SUBTIPO_MO,SUBTIPO,CLAS_MAPA,ETIQUETA_M,ESRI_OID
-8182917.657,552902.647599999,5049,-7.58397098089e+56,11470,34566,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,5937
-8180914.2154,555388.8605,5050,-7.58397098089e+56,11471,34567,67,Caida,15,Caida de roca,Caida,cr,5938
-8180613.6528,549096.8246,5051,-7.58397098089e+56,11474,34568,67,Caida,20,Caida de detritos,Caida,cd,5941
-8178898.7142,548637.792599998,5052,-7.58397098089e+56,11482,34569,67,Caida,20,Caida de detritos,Caida,cd,5946
-8180234.8573,551729.4078,5053,-7.58397098089e+56,11483,34570,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5947
-8180679.826,552432.108,5054,-7.58397098089e+56,11484,34571,67,Caida,20,Caida de detritos,Caida,cd,5948
-8169804.5303,604156.292800002,5055,-7.58397098089e+56,11507,34572,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5959
-8172687.0866,599184.866300002,5056,-7.58397098089e+56,11509,34573,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5960
-8165529.8618,595424.701499999,5057,-7.58397098089e+56,11513,34574,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5963
-8175504.0882,570444.2097,5058,-7.58397098089e+56,11514,34575,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5964
-8177173.8805,571613.4056,5059,-7.58397098089e+56,11520,34576,72,Reptación,8,Reptacion de suelos,Reptación,lr,5966
-8180646.7394,568434.640900001,5060,-7.58397098089e+56,11522,34577,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5967
-8176806.217,565421.790199999,5061,-7.58397098089e+56,11523,34578,67,Caida,20,Caida de detritos,Caida,cd,5968
-8175848.8694,568744.4703,5062,-7.58397098089e+56,11536,34579,67,Caida,20,Caida de detritos,Caida,cd,5977
-8175214.3483,568973.583500002,5063,-7.58397098089e+56,11537,34580,72,Reptación,8,Reptacion de suelos,Reptación,lr,5978
-8175792.9004,568297.4223,5064,-7.58397098089e+56,11538,34581,67,Caida,23,Caida de Tierras,Caida,ct,5979
-8176304.97,565727.881299999,5065,-7.58397098089e+56,11539,34582,67,Caida,20,Caida de detritos,Caida,cd,5980
-8153195.6622,558171.2839,5066,-7.58397098089e+56,11560,34583,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5994
-8151748.1996,558681.903,5067,-7.58397098089e+56,11561,34584,67,Caida,20,Caida de detritos,Caida,cd,5995
-8153095.4747,555718.499499999,5068,-7.58397098089e+56,11562,34585,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5996
-8164516.8544,559771.442600001,5069,-7.58397098089e+56,11563,34586,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5997
